/******************** DETECTOR TYPE: SHITOMASI****************/
/-------------------- DESCRIPTOR TYPE: BRISK-----------------/
Frame | Num Kp | match kp | ttc lidar | ttc camera | ttc diff |
    7,    1894,      1310,    13.5199,    12.6612,  0.858741,
    8,    1889,      1337,    13.5313,    12.1376,   1.39372,
    9,    1917,      1334,    11.8654,    11.9899, -0.124507,
   10,    1874,      1324,    11.7072,    13.5009,  -1.79372,
   11,    1912,      1299,    11.6056,    12.1076, -0.501962,
   12,    1930,      1356,    9.77463,    11.8967,  -2.12208,
   13,    1880,      1371,    9.31567,    11.6227,  -2.30706,
   14,    1886,      1359,    9.20908,    10.9335,  -1.72446,
   15,    1957,      1400,    8.23521,    12.5287,  -4.29348,
   16,    1888,      1425,    8.63378,      10.68,  -2.04626,
   17,    1919,      1442,    10.9079,    10.7884,  0.119557,
   18,    2055,      1487,    8.43837,    9.52513,  -1.08676,
/******************** DETECTOR TYPE: HARRIS****************/
/-------------------- DESCRIPTOR TYPE: BRISK-----------------/
Frame | Num Kp | match kp | ttc lidar | ttc camera | ttc diff |
    1,     209,        74,    12.1403,    10.9082,   1.23213,
    2,     114,        91,    13.1844,     10.195,   2.98933,
    3,     178,        76,    16.1581,   -80.8525,   97.0106,
    4,     250,       109,    13.7868,    11.5792,   2.20759,
    5,     241,       134,    12.4891,       -inf,       inf,
    6,     259,       124,    13.4805,    12.9945,  0.486002,
    7,     272,       144,    13.5199,    12.2395,   1.28041,
    8,     193,       124,    13.5313,    28.9604,   -15.429,
    9,     129,        93,    11.8654,        nan,       nan,
   10,     248,        77,    11.7072,       -inf,       inf,
   11,     147,       101,    11.6056,    11.7414, -0.135786,
   12,     168,        87,    9.77463,    11.6948,  -1.92018,
   13,     181,       101,    9.31567,    568.322,  -559.007,
   14,     144,        99,    9.20908,    7.72144,   1.48764,
   15,     243,        89,    8.23521,    -12.639,   20.8742,
   16,     213,       126,    8.63378,    6.33929,   2.29449,
   17,     126,        89,    10.9079,    12.5848,  -1.67691,
   18,     158,        73,    8.43837,       -inf,       inf,
/******************** DETECTOR TYPE: HARRIS****************/
/-------------------- DESCRIPTOR TYPE: BRIEF-----------------/
Frame | Num Kp | match kp | ttc lidar | ttc camera | ttc diff |
    1,     209,        95,    12.1403,    10.9082,   1.23213,
    2,     114,       120,    13.1844,    11.0081,   2.17621,
    3,     178,        95,    16.1581,   -11.4731,   27.6312,
    4,     250,       146,    13.7868,    11.5792,   2.20759,
    5,     241,       180,    12.4891,    35.3833,  -22.8942,
    6,     259,       174,    13.4805,    15.2483,  -1.76778,
    7,     272,       193,    13.5199,    14.2744, -0.754504,
    8,     193,       174,    13.5313,    17.6204,  -4.08905,
    9,     129,       122,    11.8654,    3.30058,   8.56479,
   10,     248,       109,    11.7072,   -13.4405,   25.1477,
   11,     147,       142,    11.6056,    11.7414, -0.135786,
   12,     168,       116,    9.77463,    11.6948,  -1.92018,
   13,     181,       131,    9.31567,    284.161,  -274.845,
   14,     144,       130,    9.20908,     5.6061,   3.60298,
   15,     243,       121,    8.23521,   -13.6263,   21.8615,
   16,     213,       174,    8.63378,     6.7641,   1.86968,
   17,     126,       132,    10.9079,    12.5848,  -1.67691,
   18,     158,       100,    8.43837,       -inf,       inf,
/******************** DETECTOR TYPE: HARRIS****************/
/-------------------- DESCRIPTOR TYPE: ORB-----------------/
Frame | Num Kp | match kp | ttc lidar | ttc camera | ttc diff |
